mtime,stream_id,AR,B,BE,BF,CN,CR,DQ,FQ,HV,PT
2021-11-01T00:00,Q7,2705,3067,10012,1369,16633,2751,4772,13849,7990,17794
2021-11-01T00:00,QS,10487,26630,2079,10701,16924,8191,27640,5026,4751,8549
2021-11-01T00:00,Qd,6277,9249,3891,12823,1383,21333,5640,15432,15630,12620
2021-11-01T00:00,Qs,17881,15381,8505,4119,13429,22233,22629,8333,491,13022
2021-11-01T00:00,RX,14521,22212,5974,6445,2659,18011,14587,16783,8949,11791
2021-11-01T00:00,Rb,7946,23406,2385,8604,16955,7369,31614,12420,2054,4361
2021-11-01T00:00,Rl,15195,25860,14914,9228,9926,16742,10997,3398,8905,9933
2021-11-01T00:00,Rs,20310,15838,13115,8842,20438,7435,38572,15135,11938,12763
2021-11-01T00:00,Rt,13686,9926,10214,2192,8102,17770,21003,11263,7146,14212
2021-11-01T00:00,Ry,326,8316,7534,8310,2461,6409,22042,9807,8397,8367
2021-11-01T00:00,U9,26849,14368,11089,7404,5842,9971,12807,10865,12653,10710
2021-11-01T00:00,Ur,6710,12106,11276,7702,12720,10607,8563,10861,971,9622
2021-11-01T00:00,Vy,13148,2275,13428,10325,13385,8391,2564,2766,4861,12369
2021-11-01T00:00,W5,31911,5823,7624,14659,12759,15007,6146,8404,16881,22321
2021-11-01T00:00,Wd,11371,6360,6370,6385,5207,8164,10824,18538,15137,10964
2021-11-01T00:00,Wi,28651,4374,4105,16338,12666,21550,12138,15542,2181,9320
2021-11-01T00:00,Ze,23218,16123,11008,43,5382,2005,22132,7311,7873,2346
2021-11-01T00:00,Zw,4095,6287,7449,9226,1060,7000,33338,15200,10573,18985
2021-11-01T00:00,af,2811,2775,1339,1189,12001,15954,19982,11040,5678,10774
2021-11-01T00:00,at,19556,17142,9884,4362,4560,672,12302,6351,11676,11088
2021-11-01T00:00,bc,6285,1433,4291,9813,12097,11990,8806,4179,7929,4463
2021-11-01T00:00,bo,25161,15654,15761,11128,809,7603,8848,2744,18684,15536
2021-11-01T00:00,c4,21002,6687,1382,7571,2648,19762,591,4487,5870,14428
2021-11-01T00:00,ds,23789,7756,7476,8118,11539,16896,27042,12139,1616,9676
2021-11-01T00:00,e1,29504,16586,3596,2500,13426,14965,30640,2021,5278,7445
2021-11-01T00:00,en,12987,2573,3752,9965,6107,23022,25545,8548,6337,1984
2021-11-01T00:00,ep,1512,11704,14008,13459,16237,3710,17217,14686,5739,8528
2021-11-01T00:00,fg,24097,10547,12017,10053,9100,15126,10591,15659,5392,12011
2021-11-01T00:00,fv,497887,497887,497887,497887,497887,497887,497887,497887,497887,497887
2021-11-01T00:00,fz,19572,6375,12893,13626,8787,21497,21561,10469,6866,18830
2021-11-01T00:00,g3,22449,17387,13769,17997,12354,5161,34423,7768,10808,1292
2021-11-01T00:00,go,26818,12910,15508,3239,1122,14535,1603,4100,13086,4307
2021-11-01T00:00,gt,18313,8242,2463,13949,10874,8741,30946,21329,6367,19021
2021-11-01T00:00,gw,9530,24767,2849,13044,15476,11408,2571,4286,9184,12548
2021-11-01T00:00,ho,24513,12050,10285,7915,13295,11838,7744,11087,11074,12777
2021-11-01T00:00,hv,25907,7994,9888,12454,2988,8660,21486,3938,6609,7651
2021-11-01T00:00,ju,21025,10590,15050,11501,9497,10230,30203,3198,8294,1746
2021-11-01T00:00,jv,868,16811,4589,13323,6509,7206,8074,7752,11776,4401
2021-11-01T00:00,ko,1320,19975,4412,12954,18238,7606,31675,5770,17099,20701
2021-11-01T00:00,ky,26571,17897,7617,10186,2531,456,19846,13734,11716,8367
2021-11-01T00:00,l3,22052,2549,5294,19224,20222,22937,28662,16963,12333,8521
2021-11-01T00:00,l5,6743,30211,10220,18101,18470,19554,21440,18575,17454,15764
2021-11-01T00:00,m8,13150,22626,7973,12403,11783,7631,2874,13470,10819,129
2021-11-01T00:00,n6,6495,7997,7540,13902,13359,24586,18802,18345,8223,16021
2021-11-01T00:00,np,26805,21417,1148,8668,8790,15889,2575,2202,1210,2736
2021-11-01T00:00,o2,17323,5568,2274,9721,9397,274,15876,3449,13044,9511
2021-11-01T00:00,o6,10193,32,8546,8546,2782,1967,12180,16754,7688,10196
2021-11-01T00:00,p8,13163,4066,12621,9799,7185,3494,10929,4922,11618,9667
2021-11-01T00:00,ps,24582,6248,5692,4452,2126,17698,14101,12390,3538,7521
2021-11-01T00:00,pu,27245,10834,8584,10253,12468,15948,2152,9679,12113,4981
2021-11-01T00:00,px,79,10764,12924,14045,7687,20494,2477,12678,11972,11201
2021-11-01T00:00,pz,24758,4374,7963,7434,11633,8041,24361,8057,9009,7128
2021-11-01T00:00,q5,29611,5937,1666,3900,19229,16647,19036,15788,11062,5410
2021-11-01T00:00,qz,2145,9947,880,159,4057,18836,14713,12509,6741,13347
2021-11-01T00:00,t2,956,24625,3049,12450,14895,9365,17195,3378,5309,10877
2021-11-01T00:00,tz,29690,16298,10676,6779,8566,26652,29963,20997,2404,15753
2021-11-01T00:00,v3,11454,21889,6089,6304,11502,13521,16874,13224,10756,19889
2021-11-01T00:00,z2,2114,17113,4026,11366,8654,19568,14802,69,4096,12686
2021-11-01T00:05,AB,29384,3676,4451,20534,1980,29223,15614,13541,6871,6825
2021-11-01T00:05,Ax,10517,9530,9731,421,5751,22304,19255,17027,18624,24873
2021-11-01T00:05,BF,29946,16269,5731,10691,14450,29402,5960,1869,9926,16316
2021-11-01T00:05,Bx,10554,36,280,18411,7273,1586,8031,12953,9410,16652
2021-11-01T00:05,C8,322,10976,6508,15361,17944,17045,12152,12712,10464,16710
2021-11-01T00:05,CL,14134,847,1937,9045,20606,20926,7157,6366,2130,18879
2021-11-01T00:05,Ct,26585,19231,4099,12931,11660,29082,15288,17966,14109,2037
2021-11-01T00:05,Cx,21783,11792,9925,7963,6072,16213,8627,7836,2397,7367
2021-11-01T00:05,E2,18463,2078,14706,9838,19115,23330,16374,1767,26,425
2021-11-01T00:05,E5,14721,18915,14277,3390,8136,4860,11754,429,16433,1786
2021-11-01T00:05,EF,15296,6554,7930,2473,16528,16400,10467,6352,4657,2474
2021-11-01T00:05,EM,4875,4899,3502,3534,10243,23823,6015,3775,18307,14681
2021-11-01T00:05,EY,11170,5511,11751,7544,310,5037,7089,21942,9018,10851
2021-11-01T00:05,Ea,24384,1703,13342,9809,165,18311,1613,464,5891,20689
2021-11-01T00:05,Eb,5660,6180,11357,16771,3935,21457,14767,15911,1342,1256
2021-11-01T00:05,Es,15611,6660,6032,1344,8905,15787,7302,14436,11446,9542
2021-11-01T00:05,F1,1811,2462,9538,12878,17512,16968,15632,26216,18509,16348
2021-11-01T00:05,FR,1083,15613,4905,10485,18918,1461,13588,7639,11879,4254
2021-11-01T00:05,Gm,22876,12253,7234,10001,6902,938,1730,6329,19126,4707
2021-11-01T00:05,Hk,17211,17690,5850,17298,22309,12373,12128,1699,5077,4868
2021-11-01T00:05,Hl,14992,4483,16791,29291,12272,10875,19891,21902,11876,18798
2021-11-01T00:05,I1,497887,497887,497887,497887,497887,497887,497887,497887,497887,497887
2021-11-01T00:05,JZ,14425,321,2823,14823,7765,9572,804,18083,13866,16386
2021-11-01T00:05,Jl,13597,13688,13529,10560,13528,840,8237,20456,11507,8518
2021-11-01T00:05,KO,12584,14422,14448,7325,1166,9401,5006,14127,5343,19459
2021-11-01T00:05,Kf,1125,17089,1680,8850,1270,10901,2495,731,14588,2140
2021-11-01T00:05,L1,19797,12341,10712,17381,9695,21542,9246,5840,6556,14869
2021-11-01T00:05,LM,21610,10812,7665,6789,14541,766,2285,14740,11768,16382
2021-11-01T00:05,Mf,1837,10488,11644,686,16871,17590,4324,5695,6412,9241
2021-11-01T00:05,Ms,26155,10410,4397,20322,12575,9103,15269,13664,14076,5666
2021-11-01T00:05,NX,4704,3181,469,28694,4573,3747,20450,21099,20871,25911
2021-11-01T00:05,Na,3642,9504,9878,11769,4039,4683,10814,9521,4749,9240
2021-11-01T00:05,Nt,27277,18,7591,8415,11317,19505,13064,7485,9970,8446
2021-11-01T00:05,O3,13885,18534,9698,10505,16123,446,15971,4537,3902,9255
2021-11-01T00:05,O8,24054,16291,13404,21218,1541,19284,8626,4721,13112,14411
2021-11-01T00:05,Oi,19946,13310,8805,488,19447,22325,5777,9093,5100,8498
2021-11-01T00:05,Or,19004,16310,12659,14486,13518,16661,2595,6210,8313,10027
2021-11-01T00:05,Os,20370,15710,7933,21070,1335,25803,10537,7363,16265,22008
2021-11-01T00:05,PV,16317,1200,7147,10280,11159,705,7545,8100,5586,3558
2021-11-01T00:05,Pc,10774,19274,17320,28716,14383,20312,10994,7983,13363,25207
2021-11-01T00:05,Pu,8511,3902,3651,21917,19468,3834,17637,1621,5254,23600
2021-11-01T00:05,Q6,9235,1132,5418,20712,8174,27409,18480,2998,18565,5325
2021-11-01T00:05,Q7,14152,7699,10552,2405,17609,10806,4959,3383,4866,5613
2021-11-01T00:05,QS,20806,19197,302,22290,17052,15717,12339,7100,7052,8902
2021-11-01T00:05,Qd,12091,7387,9019,15033,14927,2304,4935,14708,3781,9096
2021-11-01T00:05,Qs,2533,8256,1305,4544,17676,528,7870,12567,3590,16778
2021-11-01T00:05,RX,19157,2349,5822,16691,20996,24124,1717,16699,7738,3692
2021-11-01T00:05,Rb,17331,994,6925,19930,7686,8332,12417,5388,10813,15363
2021-11-01T00:05,Rl,1060,3557,10295,13838,15624,26479,5276,18785,1838,12159
2021-11-01T00:05,Rs,1942,14322,1495,13847,24377,9918,17406,3863,4058,19195
2021-11-01T00:05,Rt,17983,42,3249,6565,9682,14637,4245,11530,103,15272
2021-11-01T00:05,Ry,5714,6793,2448,2434,10628,16762,7276,16149,8737,15947
2021-11-01T00:05,U9,6609,5144,10944,12525,6336,20181,2276,5483,1210,3089
2021-11-01T00:05,Ur,6899,20951,14520,7878,6863,20515,15973,15045,4323,13662
2021-11-01T00:05,Vy,8642,750,13086,20613,7240,1608,11621,9514,13190,12256
2021-11-01T00:05,W5,4242,18373,9295,17820,2742,9871,5436,5080,514,9175
2021-11-01T00:05,Wd,16235,18883,4740,2898,22942,10617,15734,5040,6573,5467
2021-11-01T00:05,Wi,14230,7697,5277,13015,7643,5806,6880,9818,5787,13346
2021-11-01T00:05,Ze,15468,10620,9031,7868,5142,20050,9584,3579,9119,13302
2021-11-01T00:05,Zw,12077,5070,2477,19698,13292,21623,8958,19044,2543,15506
2021-11-01T00:05,af,18551,14914,6365,15126,12111,12972,6683,7287,4762,4745
2021-11-01T00:05,at,9831,20798,7368,14028,20745,14923,13864,14152,7151,10748
2021-11-01T00:05,bc,4025,19939,7983,445,21899,22380,16059,10635,12812,1148
2021-11-01T00:05,bo,4855,14388,12388,2419,6493,3903,8602,465,1188,10231
2021-11-01T00:05,c4,16387,12156,3785,13432,6392,20224,6842,5651,9813,18732
2021-11-01T00:05,ds,18315,13189,10940,10440,7869,6668,8562,11833,5910,11585
2021-11-01T00:05,e1,800,9021,7868,17079,17645,13972,4657,5903,13274,9700
2021-11-01T00:05,en,18611,19072,8821,11835,19445,13942,7910,7358,11401,10229
2021-11-01T00:05,ep,14737,9393,6331,17959,17904,2901,3041,6214,7936,10728
2021-11-01T00:05,fg,19660,11737,9775,7679,4413,11601,8351,6941,3459,122
2021-11-01T00:05,fv,9826,15815,14093,20178,910,20258,4238,12538,12685,5193
2021-11-01T00:05,fz,23638,11399,2118,1390,10679,24642,13779,15021,7069,3100
2021-11-01T00:05,g3,29026,19209,10207,3402,1097,6476,13088,10445,12394,19272
2021-11-01T00:05,go,25415,4727,3871,7925,1155,15305,12402,15480,9007,17155
2021-11-01T00:05,gt,19240,2078,13056,18448,20119,26347,20169,1185,610,12231
2021-11-01T00:05,gw,3434,11501,11857,12725,12078,20791,14664,13254,6116,5261
2021-11-01T00:05,ho,4024,5930,5152,24643,15074,20772,14101,7236,6340,93
2021-11-01T00:05,hv,25062,8209,14567,8363,17532,10543,14338,13847,7380,642
2021-11-01T00:05,ju,26512,380,11236,82,20704,2637,2293,24532,7521,15262
2021-11-01T00:05,jv,16948,3890,15598,12838,17472,19110,9463,4670,11623,15193
2021-11-01T00:05,ko,7579,2604,8005,6998,5293,13531,2989,639,184,9937
2021-11-01T00:05,ky,6122,12889,4955,15555,15514,7307,11571,3922,6996,11799
2021-11-01T00:05,l3,10213,14916,13233,23048,17506,3543,10547,12096,9105,19804
2021-11-01T00:05,l5,10181,10917,531,11963,7228,11913,7334,8232,4555,2018
2021-11-01T00:05,m8,11809,2397,4499,9931,3253,2539,9877,12626,12642,8693
2021-11-01T00:05,n6,35050,18629,17197,16066,24686,18642,11806,20173,17605,510
2021-11-01T00:05,np,6099,12985,4169,5664,21708,14186,9005,16718,3912,12340
2021-11-01T00:05,o2,3784,22439,1114,1731,18865,28615,7793,1399,6902,11616
2021-11-01T00:05,o6,18301,16887,13977,27059,4905,10630,8561,21748,1885,19918
2021-11-01T00:05,p8,13665,16863,3986,3303,10618,21905,793,16000,6972,15606
2021-11-01T00:05,ps,4544,8909,1416,4826,4154,16949,10044,5391,8805,10063
2021-11-01T00:05,pu,9457,15292,9082,20125,14394,3778,8431,6243,10636,561
2021-11-01T00:05,px,742,5822,9906,13653,3269,13014,13693,6854,9410,598
2021-11-01T00:05,pz,27746,4282,5280,7997,3379,1466,13558,15427,12472,8919
2021-11-01T00:05,q5,9177,12840,3180,11058,7750,51,3462,6838,4856,11516
2021-11-01T00:05,qz,18515,1249,5586,839,6789,19255,831,2127,18800,23793
2021-11-01T00:05,t2,15327,14382,6568,16245,10421,12403,10423,6095,2261,3947
2021-11-01T00:05,tz,4626,4457,14192,21986,10531,10777,14844,5179,17109,12853
2021-11-01T00:05,v3,19836,16345,12670,1240,15953,14111,10908,17199,847,16741
2021-11-01T00:05,z2,33602,16519,11294,12653,19490,27443,6146,15685,95,17995
2021-11-01T00:10,AB,34792,828,12171,25754,28016,2409,1155,9901,5668,13341
2021-11-01T00:10,Ax,7997,1748,5939,23467,5824,12106,36683,6721,7851,11306
2021-11-01T00:10,BF,12297,965,4399,17909,28749,4403,34580,22145,13172,5109
2021-11-01T00:10,Bx,19854,15285,5725,6508,23076,7804,12107,24623,21007,8642
2021-11-01T00:10,C8,21384,14015,3652,20232,6457,6204,14616,17111,15422,2522
2021-11-01T00:10,CL,22197,3085,6503,19390,4310,10031,28919,11085,19838,5380
2021-11-01T00:10,Ct,3409,20546,12602,16776,32471,11577,15279,28847,29265,13229
2021-11-01T00:10,Cx,5321,9431,879,7559,10849,3885,28349,404,18635,6149
2021-11-01T00:10,E2,7563,10256,4795,17256,20454,4363,13395,2533,12230,1965
2021-11-01T00:10,E5,2579,20263,3849,9399,11793,11937,22801,6474,15859,10196
2021-11-01T00:10,EF,1525,17010,2901,8839,20605,11627,13407,9791,8562,12548
2021-11-01T00:10,EM,2570,15738,652,3699,1318,13212,16326,9796,6484,11509
2021-11-01T00:10,EY,21247,7328,11589,7370,12393,3366,30322,8532,29870,5448
2021-11-01T00:10,Ea,11336,19181,7837,1947,18860,4674,11578,31803,21793,18441
2021-11-01T00:10,Eb,1482,11723,7986,40,18368,9030,5887,3535,7050,10543
2021-11-01T00:10,Es,27896,16126,7086,5194,14110,18589,29867,429,29204,18964
2021-11-01T00:10,F1,10765,15452,274,15833,25525,19971,17949,12474,18394,15090
2021-11-01T00:10,FR,15805,21763,8933,19532,15652,20350,3531,1222,15073,6917
2021-11-01T00:10,Gm,27734,7889,1657,13106,25945,3623,16351,27344,20291,8945
2021-11-01T00:10,Hk,24061,9337,7350,6174,19966,8098,19273,11897,9128,14900
2021-11-01T00:10,Hl,30820,10686,11165,20591,28212,22998,33549,16222,18042,16164
2021-11-01T00:10,I1,2482,7655,7765,3187,14708,8335,9923,19962,6975,8396
2021-11-01T00:10,JZ,32482,11499,5061,24252,11784,12984,28853,21020,335,16954
2021-11-01T00:10,Jl,1784,10,4986,9533,24331,13514,7959,1674,726,15109
2021-11-01T00:10,KO,19556,3280,11660,13817,11409,16183,9133,19998,20791,9331
2021-11-01T00:10,Kf,38445,29579,10076,8223,23844,16576,25916,8143,10411,13691
2021-11-01T00:10,L1,2681,15077,4384,14496,7588,24339,32208,13166,3201,5622
2021-11-01T00:10,LM,236,8583,2081,18275,14196,5979,8549,17458,10904,4602
2021-11-01T00:10,Mf,6258,21495,7840,20476,4804,10261,20429,17551,13381,10364
2021-11-01T00:10,Ms,36449,5696,3070,10769,21429,22919,44667,23891,2818,7008
2021-11-01T00:10,NX,30728,4057,2667,19220,20808,3592,6365,10601,11464,13543
2021-11-01T00:10,Na,27053,3547,7380,10243,10291,8496,19780,17226,15897,8822
2021-11-01T00:10,Nt,13935,14665,9038,15730,107,13181,2647,4117,22354,4688
2021-11-01T00:10,O3,23306,24021,7794,17516,26702,184,27097,20722,8461,17386
2021-11-01T00:10,O8,35052,24967,8860,11579,28798,2059,31326,24191,28850,10024
2021-11-01T00:10,Oi,26317,19332,177,10652,14222,156,7506,12508,14692,6475
2021-11-01T00:10,Or,22741,7473,3302,23220,24241,18443,25023,4562,16013,17428
2021-11-01T00:10,Os,1243,873,9999,10369,9229,15266,31022,23967,6967,7028
2021-11-01T00:10,PV,31994,16503,3512,10264,7785,3167,36469,12840,14562,14448
2021-11-01T00:10,Pc,24455,1765,2753,17665,5800,15669,309,16483,2,10130
2021-11-01T00:10,Pu,17398,18435,8718,26477,34770,13189,8000,11938,19398,22486
2021-11-01T00:10,Q6,3486,16731,10330,5717,5568,8011,29419,9778,24482,7561
2021-11-01T00:10,Q7,21715,15335,6637,15018,3840,1759,13200,22117,7818,9395
2021-11-01T00:10,QS,3293,12625,5812,16426,21838,5124,29329,277,24706,17450
2021-11-01T00:10,Qd,37827,27264,3874,6092,33012,12316,19566,2003,30030,18276
2021-11-01T00:10,Qs,35144,18912,2208,12131,7918,4513,5330,23597,31393,19822
2021-11-01T00:10,RX,1775,8415,6208,324,6932,11541,4564,2856,4069,1888
2021-11-01T00:10,Rb,9949,22846,3286,3671,3299,13615,23117,9096,12318,18877
2021-11-01T00:10,Rl,11953,22385,302,6800,19426,21214,1814,9155,3205,2158
2021-11-01T00:10,Rs,6448,18010,6319,17069,13959,8052,33548,2891,10744,12475
2021-11-01T00:10,Rt,21620,23356,7977,21618,19487,12504,36766,4145,6330,12409
2021-11-01T00:10,Ry,16096,18721,4905,17592,13599,13200,22548,1363,5443,7621
2021-11-01T00:10,U9,17566,11722,9322,11964,249,14608,702,5207,4414,7843
2021-11-01T00:10,Ur,25633,5371,5902,1205,4936,16102,13181,3779,9358,10539
2021-11-01T00:10,Vy,20868,481,3653,19365,463,981,30922,13744,8011,12728
2021-11-01T00:10,W5,12430,9017,11621,7995,5599,12425,24562,21585,17983,8145
2021-11-01T00:10,Wd,5406,20900,1504,14932,21245,7636,8251,22924,13956,12418
2021-11-01T00:10,Wi,14614,7041,2509,7132,25801,13453,26343,1780,23549,16218
2021-11-01T00:10,Ze,19242,6829,2567,21366,9545,5430,4413,14358,24644,11122
2021-11-01T00:10,Zw,26286,7836,4053,15615,10294,7856,21390,122,9799,2012
2021-11-01T00:10,af,32525,1090,9126,9494,10034,15874,3968,4106,3398,21355
2021-11-01T00:10,at,9254,16134,12357,24838,5538,18695,27707,3289,7154,571
2021-11-01T00:10,bc,12817,515,9031,19849,454,13925,29988,2552,17238,5333
2021-11-01T00:10,bo,24522,13223,2781,9967,11848,15990,8142,27861,6997,11375
2021-11-01T00:10,c4,13950,20987,11897,3958,34184,1400,36174,2492,12551,8614
2021-11-01T00:10,ds,28274,15259,9096,13598,13393,8830,4580,15532,14840,7781
2021-11-01T00:10,e1,23996,2795,849,20313,16134,16994,14627,15249,11317,17856
2021-11-01T00:10,en,5154,20794,5246,6598,23998,15046,7784,4953,18858,14551
2021-11-01T00:10,ep,238,7629,6287,5862,13655,15200,21096,17875,8047,5712
2021-11-01T00:10,fg,9042,9688,5597,2025,24372,20267,20074,18753,19539,12317
2021-11-01T00:10,fv,20169,12044,1704,18740,21522,10638,3761,9698,26839,9333
2021-11-01T00:10,fz,5088,13727,4177,6855,33263,2598,33063,25508,26548,17833
2021-11-01T00:10,g3,3022,13807,3571,733,1292,12071,27479,9500,5588,12492
2021-11-01T00:10,go,23696,709,2841,6411,4411,13352,17566,4249,21885,10737
2021-11-01T00:10,gt,20000,24333,3174,18946,12160,8800,15471,27128,29937,14669
2021-11-01T00:10,gw,16440,7662,9075,3514,15252,9754,12845,17057,8335,691
2021-11-01T00:10,ho,18761,27374,3019,35,30574,10398,37489,5771,1301,12798
2021-11-01T00:10,hv,10739,6545,8918,2143,34428,2360,3055,4222,35158,21903
2021-11-01T00:10,ju,1025,16831,6206,4811,17799,2539,6276,21632,10476,12683
2021-11-01T00:10,jv,12164,12151,2493,376,12211,5748,25241,19881,13266,6598
2021-11-01T00:10,ko,10376,10845,8486,22436,28245,18132,4411,15369,25225,12376
2021-11-01T00:10,ky,14250,3778,4057,1009,16536,16636,8879,3036,5110,5685
2021-11-01T00:10,l3,3655,9513,6339,6122,11448,4601,20171,12873,5236,4648
2021-11-01T00:10,l5,26645,8969,6136,2498,658,8774,23646,19476,18552,13635
2021-11-01T00:10,m8,31360,10984,2008,15515,16912,12558,17066,15425,15049,17345
2021-11-01T00:10,n6,17437,4874,7325,20656,29385,3169,9423,9375,23395,17691
2021-11-01T00:10,np,18756,10231,9196,18028,11918,3031,304,9134,1270,1472
2021-11-01T00:10,o2,3153,14039,4917,5343,2674,11249,12122,21418,15945,5296
2021-11-01T00:10,o6,14897,18660,6840,1292,32283,10409,18349,21350,27089,24
2021-11-01T00:10,p8,14685,17056,6340,20255,11188,6426,30724,17727,18214,8512
2021-11-01T00:10,ps,497887,497887,497887,497887,497887,497887,497887,497887,497887,497887
2021-11-01T00:10,pu,20778,18399,14022,9477,9126,10115,17386,2387,24839,12596
2021-11-01T00:10,px,4323,4613,5270,8418,26801,20224,1591,4392,8695,1095
2021-11-01T00:10,pz,159,7040,2060,5952,20661,14230,25381,9341,18374,1871
2021-11-01T00:10,q5,12225,4040,5350,1788,6005,11284,9540,326,6016,3975
2021-11-01T00:10,qz,33898,830,2577,11255,31053,10453,32020,12660,34023,111
2021-11-01T00:10,t2,16790,12123,11529,19162,16739,13864,14739,13253,26124,10642
2021-11-01T00:10,tz,7480,15842,4170,2623,3848,12184,15827,20163,21569,2218
2021-11-01T00:10,v3,887,985,21,2748,22855,13359,29267,15112,222,13070
2021-11-01T00:10,z2,31466,19828,8553,15643,17548,360,44285,15587,32477,10238
2021-11-01T00:15,AB,16406,4808,8719,1066,6974,9852,9821,16919,13866,5506
2021-11-01T00:15,Ax,497887,497887,497887,497887,497887,497887,497887,497887,497887,497887
2021-11-01T00:15,BF,19112,3293,8836,1719,4193,7201,6222,12935,508,5398
2021-11-01T00:15,Bx,6326,25795,19926,10969,9312,208,3239,31642,10707,14992
2021-11-01T00:15,C8,11139,10799,5608,10425,11746,21116,24130,12870,17462,4201
2021-11-01T00:15,CL,29510,4039,4961,16694,5205,6378,17124,23594,10285,16917
2021-11-01T00:15,Ct,17504,11560,1671,13864,13874,16678,14374,25532,23399,3390
2021-11-01T00:15,Cx,11651,183,4668,20055,14028,605,10151,17813,6976,14641
2021-11-01T00:15,E2,824,22235,11004,23403,16258,861,16933,23667,11588,638
2021-11-01T00:15,E5,10813,8123,2698,1126,17001,23424,8513,19933,1971,12977
2021-11-01T00:15,EF,17172,9767,13197,14469,68,15016,12050,18420,10567,12080
2021-11-01T00:15,EM,4872,626,8436,5535,7157,4287,7972,25512,12709,1273
2021-11-01T00:15,EY,18836,16952,3206,2121,4139,7800,12362,29407,16013,7422
2021-11-01T00:15,Ea,337,2999,18280,2370,1534,20085,4178,31314,4256,21012
2021-11-01T00:15,Eb,3515,15053,10809,9260,4759,5510,2756,8356,11477,17779
2021-11-01T00:15,Es,1484,13004,13347,20781,3699,16213,15197,23526,13995,2938
2021-11-01T00:15,F1,8612,974,16700,15848,921,22194,18706,18625,12762,17263
2021-11-01T00:15,FR,20322,12477,7031,15662,8028,12257,15330,25293,25,17506
